,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),1.726248233,0.045105158,38.27163685,2.54178790795813e-316
SHSH2 2 pop with cont,-0.102971148,0.036828207,-2.795985882,0.005175951
SHSH3 Meta Pop,-0.307451676,0.036828207,-8.348266124,7.09E-17
DepMore depleted,0.246474964,0.030070105,8.196677737,2.52E-16
MLow Nat. Mort.,-0.389006098,0.030070105,-12.93663898,3.18E-38
hLow rec. comp,0.019929926,0.030070105,0.662782053,0.507472913
RGFlat rec.,-0.049757147,0.030070105,-1.654704773,0.097990075
obsGood quality data,0.028402915,0.030070105,0.944556555,0.344889443
ieno overages,-0.176789041,0.030070105,-5.879229161,4.15E-09
